,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
465,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
471,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
472,599000000,3.0,60,50,2200,1,1,0,10000000,2970000
473,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
475,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
478,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
481,650000000,3.0,60,50,1300,1,1,0,10830000,3220000
482,168000000,2.0,60,42,1300,1,1,0,2800000,831170
484,152000000,2.0,60,42,1300,1,1,0,2530000,752010
485,141000000,2.0,60,38,1300,1,1,0,2350000,697590
486,152000000,2.0,60,42,1300,1,1,0,2530000,752010
487,158000000,2.0,60,38,1300,1,1,0,2630000,781700
488,152000000,2.0,42,60,1300,1,1,0,3620000,752010
490,152000000,2.0,60,42,1300,1,1,0,2530000,752010
492,725000000,3.0,52,62,1300,1,1,0,13940000,3590000
493,695000000,3.0,60,45,2200,1,1,0,11580000,3440000
494,489000000,2.0,75,45,1300,1,0,0,6520000,2420000
495,749000000,3.0,40,44,2200,0,1,0,15905000,3710000
496,800000000,3.0,60,60,2200,1,1,0,13330000,3960000
498,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
499,680000000,4.0,60,65,2200,1,1,0,11330000,3360000
500,753000000,3.0,75,58,2200,0,1,0,10050000,3730000
501,288000000,1.0,60,20,1300,1,0,0,4810000,1430000
505,400000000,2.0,55,60,2200,1,1,0,7270000,1980000
506,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
507,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
508,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
509,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
510,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
511,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
512,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
513,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
514,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
515,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
516,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
517,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
518,469000000,2.0,66,36,1300,1,1,0,7120000,2320000
519,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
520,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
521,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
522,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
523,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
528,689000000,3.0,60,50,2200,1,1,0,11480000,3410000
529,330000000,2.0,60,36,1300,1,1,0,5500000,1630000
530,298000000,2.0,72,36,1300,0,1,0,4150000,1480000
539,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
542,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
